name,org,school,company,industry
Anushree Shidham,Delta Phi Omega (S),Wayne State University,2 Greeks In a Pod,Retail
Ambika Singh,Delta Phi Omega (S),Baylor University,CLIQUE,Professional/Business Services
Shelina Hawkins-Sajwani,Delta Phi Omega (S),University of Houston,Hawkins Commercial Cleaning Service,Professional/Business Services
Renesha Lee,Omega Phi Chi (S),Montclair State University,Soaps & Beyond,Health
Josie Rios,Mu Sigma Upsilon (S),University of Central Florida,ExpressExcel,Finance
Kamilah Campbell,Mu Sigma Upsilon (S),University of Connecticut,The Pink Locket,Retail
Karla Rodas,Mu Sigma Upsilon (S),William Paterson University,Karla Rodas Photography,Professional/Business Services
Jen Rencher,Mu Sigma Upsilon (S),William Paterson University,R.O.O.T.S. Infinite,Other
Sarah Hillware,Mu Sigma Upsilon (S),The George Washington University,Girls Health Ed,Health
Zina Phillips,Mu Sigma Upsilon (S),Rutgers University,Le Parc Place,Education
Clarissa Moore,Mu Sigma Upsilon (S),Ramapo College,GlamFab2x2,Retail
Priscilla Hall,Kappa Phi Gamma (S),"University of Texas, Austin",Integra Physical Therapy,Health
Chandni Mistry,Kappa Phi Gamma (S),St. John's University,Pearls Event & Co.,Professional/Business Services
Radha Patel,Kappa Phi Gamma (S),"University of Maryland, College Park",Sharaabi Spirits,Food/Beverage
Priya Shah,Kappa Phi Gamma (S),Rutgers University,Culturally Inclined Productions,Retail
Deborah Mazzeo,Gamma Eta (S),University of Florida,Dr. Deb's Education Consulting,Education
Aliyah Polner,Gamma Eta (S),University of Arkansas,MetroXO,Retail
Stephanie Gonzalez,Gamma Eta (S),University of Florida,Light of Mine,Retail
Bianca Jackson,Chi Upsilon Sigma (S),Drexel University,Miami Wellness Club,Health
Yolan John,Chi Upsilon Sigma (S),The George Washington University,Eloquent Events,Leisure/Hospitality
Elyana Ramirez,Chi Upsilon Sigma (S),Texas Christian University,Paloma Print 'n' Designs,Retail
Whitney Wolfe,Kappa Kappa Gamma (S),Southern Methodist University,"Tinder, Bumble",Technology
Sara Blakely,Delta Delta Delta (S),Florida State University,Spanx,Retail
Sarah Adler,Kappa Kappa Gamma (S),Northwestern University,Spoon University,Media
Mackenzie Barth,Kappa Kappa Gamma (S),Northwestern University,Spoon University,Media
Alice Waters,Alpha Phi (S),"University of California, Santa Barbara",Chez Panisse,Food/Beverage
Jeannette Paulson Hereniko,Alpha Phi (S),University of Oregon,Hawaii International Film Festival,Entertainment
Margaret McNamara,Alpha Phi (S),"University of California, Berkeley",Reading is Fundamental,Education
Julee Rosso,Alpha Phi (S),Michigan State University,The Silver Palate,Food/Beverage
Welthy Honsinger Fisher,Pi Beta Phi (S),Syracuse University,"World Education, formerly Literacy House",Education
Gay Warren Gaddis,Pi Beta Phi (S),"University of Texas, Austin",T3,Professional/Business Services
Fran Bigelow,Pi Beta Phi (S),University of Washington,Fran's Chocolates,Food/Beverage
Jennifer Biddulph Maxwell,Pi Beta Phi (S),"University of California, Berkeley",PowerBar,Food/Beverage
"Caridad De La Luz, aka La Bruja",Omega Phi Beta (S),Binghamton University,Latinas4Life,Education
Elizabeth M. Kates,Pi Beta Phi (S),Bucknell University,Elizabeth Kates Foundation,Education
Betsy Wanless Johnson,Pi Beta Phi (S),University of Puget Sound,SwimZip,Retail
Jim Coulter,Alpha Chi Alpha (F),Dartmouth College,TPG Capital,Utilities/Energy
Marshall Brain,Alpha Chi Rho (F),Rensselaer Polytechnic Institute,HowStuffWorks,Education
Colin Angle,Alpha Delta Phi (F),Massachusetts Institute of Technology,iRobot Corporation,Technology
David Packard,Alpha Delta Phi (F),Stanford University,Hewlett-Packard,Technology
Eran Egozy,Alpha Delta Phi (F),Massachusetts Institute of Technology,Harmonix Music Systems,Entertainment
Tom Gonser,Alpha Delta Phi (F),University of Washington,DocuSign,Professional/Business Services
Brian Chaplin,Alpha Epsilon Pi (F),James Madison University,EZ-Nite,Technology
Bob Diener,Alpha Epsilon Pi (F),University of Florida,"Hotels.com, Getaroom.com",Leisure/Hospitality
Winston Ibrahim,Alpha Epsilon Pi (F),Johns Hopkins University,Hydros Bottle,Utilities/Energy
Tomer Kagan,Alpha Epsilon Pi (F),"University of California, Santa Cruz",Quixey,Technology
Josh Kopelman,Alpha Epsilon Pi (F),University of Pennsylvania,"TurnTide, Half.com",Technology
Bernard Marcus,Alpha Epsilon Pi (F),Rutgers University,Home Depot,Retail
Justin Mateen,Alpha Epsilon Pi (F),University of South Carolina,Tinder,Technology
Perry Mendel,Alpha Epsilon Pi (F),Emory University,Kinder Care Day Care Centers,Professional/Business Services
Jesse Middleton,Alpha Epsilon Pi (F),Drexel University,WeWork Labs,Professional/Business Services
Elan Miller,Alpha Epsilon Pi (F),University of Florida,Glimpse,Technology
Justin Miller,Alpha Epsilon Pi (F),University of Arizona,"Airenvy, formerly Pillow",Leisure/Hospitality
Eduardo Saverin,Alpha Epsilon Pi (F),Harvard University,Facebook,Technology
Jeremy Smith,Alpha Epsilon Pi (F),"Univeristy of Illinois, Urbana-Champaign",SpotHero,Transportation
Josh Weinstein,Alpha Epsilon Pi (F),Princeton University,YouAre.TV,Technology
Adam Wexler,Alpha Epsilon Pi (F),University of Georgia,"GoRankem, Insightpool",Professional/Business Services
Mark Zuckerberg,Alpha Epsilon Pi (F),Harvard University,Facebook,Technology
Melvin Benovitz,Alpha Epsilon Pi (F),Bradley University,"Mastercard, formerly Master Charge",Finance
Matt Van Horn,Alpha Epsilon Pi (F),University of Arizona,"Lyft, formerly Zimride",Technology
Adam Geller,Alpha Epsilon Pi (F),University of North Carolina at Chapel Hill,Edthena,Technology
Zac Sebo,Alpha Epsilon Pi (F),Ohio University,Citizen Sync,Technology
Matthew Silverstone,Alpha Epsilon Pi (F),University of Arizona,NoteBowl,Education
Ben Borodach,Alpha Epsilon Pi (F),New York University,Hublished,Professional/Business Services
Ryan Kuhel,Alpha Epsilon Pi (F),New York University,Hublished,Professional/Business Services
Zak Kissel,Alpha Epsilon Pi (F),Temple University,Peak Experience,Professional/Business Services
Kevin Wick,Alpha Epsilon Pi (F),San Jose State University,AFK Gamer Lounge,Entertainment
Alex Mann,Alpha Epsilon Pi (F),"University of California, Berkeley",ClickTime,Technology
Harold Mann,Alpha Epsilon Pi (F),"University of California, Berkeley",ClickTime,Technology
Seth Harris,Alpha Epsilon Pi (F),Yale University,Breadcrumb,Technology
Percy Crawford,Alpha Gamma Omega (F),"University of California, Los Angeles",The King's College,Education
James Cash Penney,Alpha Gamma Rho (F),University of Missouri,JC Penney,Retail
Orville Redenbacher,Alpha Gamma Rho (F),Purdue University,Orville Redenbacher's Gourmet Popping Corn,Food/Beverage
Dr. James Newsome,Alpha Gamma Rho (F),University of Florida,Delta Strategy Group,Professional/Business Services
Donald De Jong,Alpha Gamma Rho (F),California Polytechnic State University,AgriVision Farm Management,Professional/Business Services
Willard Latham,Alpha Gamma Rho (F),Iowa State University,Latham Hi-Tech Seeds,Retail
Rob McClelland,Alpha Gamma Rho (F),Ohio State University,"Farmer, Lumpe + McClelland",Professional/Business Services
Phillip Farmer,Alpha Gamma Rho (F),Ohio State University,"Farmer, Lumpe + McClelland",Professional/Business Services
Steve Barr,Alpha Gamma Rho (F),University of Missouri,Osborn Barr,Professional/Business Services
A.J. Jacques,Alpha Gamma Rho (F),Oklahoma State University,Atlas Drilling,Utilities/Energy
Malone Mitchell,Alpha Gamma Rho (F),Oklahoma State University,Riata Corporate Group,Utilities/Energy
Jason Hart,Alpha Gamma Rho (F),Clemson University,Marolina Outdoor,Retail
Josh Reed,Alpha Gamma Rho (F),Clemson University,Marolina Outdoor,Retail
Dave Waters,Alpha Gamma Rho (F),Mississippi State University,Agronix,Other
Joe Coulombe,Alpha Kappa Lambda (F),Stanford University,Trader Joe's,Retail
David G. Booth,Alpha Kappa Lambda (F),University of Kansas,Dimensional Fund Advisors,Finance
"John ""Jack"" Cakebread",Alpha Kappa Lambda (F),"University of California, Berkeley",Cakebread Cellars,Food/Beverage
Nathaniel Goldston,Alpha Phi Alpha (F),University of Denver,Gourmet Services,Food/Beverage
John H. Johnson,Alpha Phi Alpha (F),University of Chicago,Johnson Publishing Company,Media
Henry Parks,Alpha Phi Alpha (F),Ohio State University,Parks Sausage,Food/Beverage
T.J. Jemison,Alpha Phi Alpha (F),Alabama State University,Southern Christian Leadership Conference,Education
Martin Luther King Jr.,Alpha Phi Alpha (F),Boston University,Southern Christian Leadership Conference,Education
Charles F. Feeney,Alpha Sigma Phi (F),Cornell University,DFS Galleria,Retail
David Bohnett,Alpha Tau Omega (F),University of South Carolina,GeoCities,Technology
Sam Calagione,Alpha Tau Omega (F),Muhlenberg College,Dogfish Head Brewery,Food/Beverage
J. Erik Jonsson,Alpha Tau Omega (F),Rensselaer Polytechnic Institute,Texas Instruments,Technology
Elton B. Stephens Sr.,Alpha Tau Omega (F),Birmingham-Southern College,EBSCO Industries,Professional/Business Services
James E. Thompson,Alpha Tau Omega (F),San Jose State University,Crown Worldwide Group,Transportation
John Morgan,Alpha Tau Omega (F),University of Florida,Morgan & Morgan,Law
Mark NeJame,Alpha Tau Omega (F),University of Florida,NeJame Law,Law
Donald Scifres,Beta Sigma Psi (F),Purdue University,JDS Uniphase and SDL Ventures,Technology
Douglas Cramer,Beta Theta Pi (F),University of Cincinnati,LA Museum of Contemporary Art,Leisure/Hospitality
Bill Bowerman,Beta Theta Pi (F),University of Oregon,Nike,Retail
Bill Cook,Beta Theta Pi (F),Northwestern University,Cook Group,Health
Joel Hyatt,Beta Theta Pi (F),Dartmouth College,Hyatt Legal Services,Law
John H. Patterson,Beta Theta Pi (F),Miami University (Ohio),National Cash Register,Technology
Mitchell Rales,Beta Theta Pi (F),Miami University (Ohio),Danaher Corporation,Technology
Steven M. Rales,Beta Theta Pi (F),DePauw University,Danaher Corporation,Technology
Sam Walton,Beta Theta Pi (F),University of Missouri,Wal-Mart,Retail
Fred Wilson,Beta Theta Pi (F),Massachusetts Institute of Technology,Union Square Ventures Flatiron Partners,Finance
Dave Gilboa,Beta Theta Pi (F),"University of California, Berkeley",Warby Parker,Retail
John Warnock,Beta Theta Pi (F),University of Utah,Adobe,Technology
Dan Carney,Beta Theta Pi (F),Wichita State,Pizza Hut,Food/Beverage
Kevin Wood,Beta Theta Pi (F),"Univeristy of California, Santa Barbara",Guidebook,Technology
Brewster Kahle,Chi Phi (F),Massachusetts Institute of Technology,"Internet Archive, Alexa Internet, WAIS",Technology
Mark Ordesky,Chi Phi (F),University of South Carolina,Court Five,Media
Chris Hardwick,Chi Phi (F),"University of California, Los Angeles",Nerdist,Media
Benjamin Russell,Chi Phi (F),University of Virginia,Russell Athletic,Retail
George M. Wallace,Chi Phi (F),Rensselaer Polytechnic Institute,Denver Technological Center,Technology
James Ford Bell,Chi Psi (F),University of Minnesota,General Mills,Food/Beverage
Daniel Burke,Chi Psi (F),Hamilton College,Burke & Burke,Law
Charles Edward Merrill,Chi Psi (F),Amherst College,Merrill Lynch,Finance
Kemmons Wilson,Chi Psi (F),N/A,Holiday Inn,Leisure/Hospitality
Wallace E. Johnson,Chi Psi (F),N/A,Holiday Inn,Leisure/Hospitality
Hubertus van der Vaart,Chi Psi (F),University of North Carolina at Chapel Hill,Small Enterprise Assistance Funds,Finance
Tim Crown,Delta Chi (F),University of Kansas,Insight Enterprises,Technology
Jon F. Hanson,Delta Kappa Epsilon (F),Colgate University,Hampshire Companies,Finance
Eugene C. Pulliam,Delta Kappa Epsilon (F),DePauw University,Central Newspapers Inc.,Media
Oscar L. Tang,Delta Kappa Epsilon (F),Yale University,Reich & Tang,Finance
Michael M. Wood,Delta Kappa Epsilon (F),Yale University,Hanley Wood,Media
Herb Kelleher,Delta Kappa Epsilon (F),Wesleyan University,Southwest,Transportation
Rollin King,Delta Kappa Epsilon (F),Case Western Reserve University,Southwest,Transportation
Frank Batten,Delta Kappa Epsilon (F),University of Virginia,Weather Channel,Media
Donald Fisher,Delta Kappa Epsilon (F),"University of California, Berkeley",Gap,Retail
Joseph C. Wilson,Delta Kappa Epsilon (F),University of Rochester,Xerox,Professional/Business Services
Roland Betts,Delta Kappa Epsilon (F),Yale University,"Chelsea Piers Management, Silver Screen Partners",Leisure/Hospitality
George W. Bush,Delta Kappa Epsilon (F),Yale University,Arbusto Energy,Utilities/Energy
Thatcher M. Brown Sr.,Delta Kappa Epsilon (F),Yale University,Brown Brothers Harriman & Company,Finance
Dick Clark,Delta Kappa Epsilon (F),Syracuse University,Dick Clark Productions,Entertainment
William Henry Draper III,Delta Kappa Epsilon (F),Yale University,Sutter Hill Ventures,Finance
Max Weitzenhoffer Jr.,Delta Kappa Epsilon (F),University of Oklahoma,Nimax Theatres Group,Leisure/Hospitality
F. Peter Cundill,Delta Kappa Epsilon (F),McGill University,Cundill Value Fund,Finance
Thomas W. Lamont Jr.,Delta Kappa Epsilon (F),Harvard University,Bankers Trust Company of New York,Finance
John Hay,Delta Kappa Epsilon (F),Yale University,J.H. Whitney & Company,Finance
Louis K. Comstock,Delta Kappa Epsilon (F),University of Michigan,L.K. Comstock Company,Utilities/Energy
William Randolph Hearst,Delta Kappa Epsilon (F),Harvard University,Hearst Publications,Media
Lanny J. Davis,Delta Kappa Epsilon (F),Yale University,Purple Nation Solutions,Professional/Business Services
George Caulkins,Delta Kappa Epsilon (F),Yale University,Caulkins Oil Company,Utilities/Energy
Peter Burwash,Delta Kappa Epsilon (F),University of Toronto,Peter Burwash International,Sports
Charles Wrede Petersmeyer,Delta Kappa Epsilon (F),"University of California, Berkeley",Corinthian Broadcasting Corporation,Media
August Belmont Jr.,Delta Kappa Epsilon (F),Harvard University,Interborough Rapid Transit Company,Transportation
William E. Simon,Delta Kappa Epsilon (F),Lafayette College,Wesray Capital Corporation,Finance
Isaac Tigrett,Delta Kappa Epsilon (F),Centre College,"Hard Rock Cafe, House of Blues",Entertainment
